DISSOLVED OXYGEN (mg/L),PERCENTAGE DISSOLVED OXYGEN (%),PH (???),TEMPERATURE (°C),TURBIDITY (NTU),date,quality
5.8,64.31,7.52,17.329,11.69,2023-07-09 01:01:24,83.275
5.95,66.54,7.54,17.074,15.1,2023-07-09 00:01:24,75.0
5.74,64.74,7.56,16.839,16.61,2023-07-08 23:01:24,75.0
5.29,60.54,7.56,16.265,6.61,2023-07-08 22:01:24,95.975
5.66,65.42,7.64,15.898,8.9,2023-07-08 21:01:24,90.25
5.61,65.18,7.67,15.463,6.43,2023-07-08 20:01:24,96.425
6.17,71.34,7.68,15.819,8.18,2023-07-08 19:01:24,92.05
6.1,69.96,7.64,16.162,14.09,2023-07-08 18:01:24,77.275
6.12,69.28,7.58,16.698,16.17,2023-07-08 17:01:24,75.0
6.28,70.07,7.54,17.168,19.29,2023-07-08 16:01:24,75.0
6.29,69.65,7.53,17.25,15.29,2023-07-08 15:01:24,75.0
5.99,66.16,7.51,17.486,13.49,2023-07-08 14:01:24,78.775
6.12,67.79,7.53,17.267,16.3,2023-07-08 13:01:24,75.0
6.21,68.97,7.55,17.245,16.32,2023-07-08 12:01:24,75.0
6.05,67.93,7.57,16.912,20.73,2023-07-08 11:01:24,75.0
5.76,65.24,7.58,16.512,12.1,2023-07-08 10:01:24,82.25
5.58,63.98,7.63,15.838,8.47,2023-07-08 09:01:24,91.325
5.4,62.5,7.65,15.385,5.51,2023-07-08 08:01:24,98.725
5.69,66.04,7.69,15.108,6.36,2023-07-08 07:01:24,96.6
6.05,70.01,7.71,15.207,8.08,2023-07-08 06:01:24,92.3
6.16,70.63,7.68,15.591,16.5,2023-07-08 05:01:24,75.0
6.0,67.78,7.59,16.16,12.94,2023-07-08 04:01:24,80.15
6.1,67.87,7.54,16.713,14.95,2023-07-08 03:01:24,75.125
5.41,59.95,7.48,16.899,12.38,2023-07-08 02:01:24,81.55
5.35,58.84,7.48,17.067,10.14,2023-07-08 01:01:24,87.15
5.87,64.82,7.53,16.992,14.1,2023-07-08 00:01:24,77.25
5.85,65.35,7.55,16.702,12.67,2023-07-07 23:01:24,80.825
5.67,64.11,7.57,16.427,9.77,2023-07-07 22:01:24,88.075
5.37,61.73,7.6,15.959,8.67,2023-07-07 21:01:24,90.825
5.7,66.1,7.66,15.597,6.59,2023-07-07 20:01:24,96.025
5.66,65.86,7.67,15.329,5.45,2023-07-07 19:01:24,98.875
6.32,73.27,7.71,15.548,13.4,2023-07-07 18:01:24,79.0
6.18,70.9,7.66,15.93,18.35,2023-07-07 17:01:24,75.0
6.09,68.85,7.58,16.345,19.58,2023-07-07 16:01:24,75.0
6.19,68.74,7.54,16.693,23.69,2023-07-07 15:01:24,75.0
6.29,69.14,7.53,16.794,21.87,2023-07-07 14:01:24,75.0
6.18,67.62,7.52,16.974,14.06,2023-07-07 13:01:24,77.35
6.01,66.16,7.53,16.76,15.15,2023-07-07 12:01:24,75.0
6.13,67.86,7.55,16.6,21.95,2023-07-07 11:01:25,75.0
5.84,65.37,7.57,16.267,19.97,2023-07-07 10:01:24,75.0
5.75,64.83,7.59,15.986,11.65,2023-07-07 09:01:24,83.375
5.73,65.49,7.65,15.335,9.63,2023-07-07 08:01:24,88.425
5.72,65.89,7.68,14.996,9.0,2023-07-07 07:01:24,90.0
5.9,68.26,7.71,14.803,5.85,2023-07-07 06:01:24,97.875
6.4,73.43,7.73,15.03,14.02,2023-07-07 05:01:24,77.45
6.21,70.73,7.67,15.424,18.77,2023-07-07 04:01:24,75.0
6.09,68.32,7.59,15.978,16.91,2023-07-07 03:01:24,75.0
6.24,68.96,7.55,16.49,13.93,2023-07-07 02:01:24,77.675
5.58,61.34,7.5,16.658,10.18,2023-07-07 01:01:24,87.05
5.85,64.4,7.52,16.657,11.65,2023-07-07 00:01:24,83.375
6.07,67.08,7.55,16.589,15.98,2023-07-06 23:01:24,75.0
5.91,66.21,7.57,16.232,17.03,2023-07-06 22:01:24,75.0
5.64,63.77,7.58,15.984,11.48,2023-07-06 21:01:24,83.8
5.65,64.73,7.64,15.542,5.58,2023-07-06 20:01:24,98.55
6.08,70.24,7.71,15.117,8.39,2023-07-06 19:01:24,91.525
5.92,68.75,7.72,14.873,5.74,2023-07-06 18:01:24,98.15
6.52,75.27,7.75,15.108,17.06,2023-07-06 17:01:24,75.0
6.33,72.35,7.67,15.585,26.33,2023-07-06 16:01:24,75.0
6.25,70.3,7.6,16.07,24.75,2023-07-06 15:01:24,75.0
6.38,70.93,7.57,16.421,21.05,2023-07-06 14:01:24,75.0
6.16,67.55,7.53,16.391,18.8,2023-07-06 13:01:24,75.0
5.96,65.2,7.51,16.497,17.97,2023-07-06 12:01:24,75.0
5.77,63.63,7.53,16.238,18.56,2023-07-06 11:01:28,75.0
6.24,69.18,7.59,16.07,20.12,2023-07-06 10:01:24,75.0
6.07,68.08,7.61,15.785,16.62,2023-07-06 09:01:24,75.0
5.82,65.91,7.62,15.515,10.19,2023-07-06 08:01:24,87.025
5.71,65.43,7.66,15.084,8.91,2023-07-06 07:01:24,90.225
5.95,68.66,7.72,14.736,8.9,2023-07-06 06:01:24,90.25
5.98,69.07,7.72,14.663,4.48,2023-07-06 05:01:24,100.0
6.57,75.6,7.76,14.87,12.95,2023-07-06 04:01:24,80.125
6.43,73.17,7.69,15.31,23.28,2023-07-06 03:01:24,75.0
6.43,72.1,7.62,15.778,19.91,2023-07-06 02:01:24,75.0
6.53,72.17,7.59,16.184,14.68,2023-07-06 01:01:24,75.8
5.26,57.81,7.5,16.317,8.28,2023-07-06 00:01:24,91.8
6.01,66.18,7.55,16.306,11.1,2023-07-05 23:01:24,84.75
6.34,70.25,7.59,16.24,15.44,2023-07-05 22:01:24,75.0
6.25,70.28,7.63,15.922,13.61,2023-07-05 21:01:24,78.475
6.14,69.68,7.66,15.719,10.29,2023-07-05 20:01:24,86.775
6.26,72.01,7.71,15.376,10.75,2023-07-05 19:01:24,85.625
6.45,74.94,7.78,14.814,8.15,2023-07-05 18:01:24,92.125
6.29,73.01,7.76,14.68,6.39,2023-07-05 17:01:24,96.525
6.76,78.07,7.78,14.941,17.36,2023-07-05 16:01:24,75.0
6.6,75.44,7.71,15.388,23.62,2023-07-05 15:01:24,75.0
6.62,74.46,7.65,15.83,27.72,2023-07-05 14:01:24,75.0
6.66,73.86,7.61,16.107,21.96,2023-07-05 13:01:24,75.0
6.27,68.61,7.57,16.063,22.32,2023-07-05 12:01:24,75.0
6.29,68.8,7.56,16.095,19.03,2023-07-05 11:01:24,75.0
6.52,71.97,7.61,15.917,18.85,2023-07-05 10:01:24,75.0
6.47,71.76,7.63,15.763,18.48,2023-07-05 09:01:24,75.0
6.36,71.6,7.66,15.467,15.07,2023-07-05 08:01:24,75.0
6.08,68.89,7.67,15.119,10.37,2023-07-05 07:01:24,86.575
6.16,70.58,7.72,14.782,5.95,2023-07-05 06:01:24,97.625
5.94,68.72,7.74,14.525,9.63,2023-07-05 05:01:24,88.425
6.77,78.2,7.79,14.56,7.71,2023-07-05 04:01:24,93.225
6.78,77.88,7.77,14.836,16.81,2023-07-05 03:01:24,75.0
6.67,75.75,7.71,15.247,19.47,2023-07-05 02:01:24,75.0
6.77,75.71,7.66,15.678,19.99,2023-07-05 01:01:24,75.0
6.87,76.11,7.64,15.942,13.11,2023-07-05 00:01:24,79.725
6.18,67.86,7.59,16.063,8.77,2023-07-04 23:01:24,90.575
6.42,70.97,7.62,16.023,9.97,2023-07-04 22:01:24,87.575
6.4,71.21,7.63,15.928,14.88,2023-07-04 21:01:24,75.3
6.57,74.12,7.69,15.62,12.58,2023-07-04 20:01:24,81.05
6.38,72.69,7.7,15.418,8.02,2023-07-04 19:01:24,92.45
6.38,73.49,7.74,15.048,8.48,2023-07-04 18:01:24,91.3
6.41,74.39,7.77,14.616,5.83,2023-07-04 17:01:24,97.925
6.73,78.02,7.79,14.545,4.43,2023-07-04 16:01:24,100.0
7.04,81.34,7.81,14.76,16.42,2023-07-04 15:01:24,75.0
6.88,78.71,7.75,15.119,22.38,2023-07-04 14:01:24,75.0
6.93,78.31,7.71,15.604,18.74,2023-07-04 13:01:24,75.0
7.02,78.3,7.68,15.86,16.21,2023-07-04 12:01:24,75.0
6.43,71.04,7.62,15.878,18.45,2023-07-04 11:01:24,75.0
6.79,75.1,7.65,15.867,14.16,2023-07-04 10:01:24,77.1
6.72,74.79,7.67,15.682,19.06,2023-07-04 09:01:24,75.0
6.65,74.59,7.69,15.469,17.83,2023-07-04 08:01:24,75.0
6.51,73.69,7.71,15.24,10.63,2023-07-04 07:01:24,85.925
6.54,74.66,7.75,14.853,7.42,2023-07-04 06:01:24,93.95
6.79,78.15,7.8,14.592,9.03,2023-07-04 05:01:24,89.925
6.5,75.34,7.81,14.345,5.3,2023-07-04 04:01:24,99.25
7.12,82.28,7.84,14.427,10.14,2023-07-04 03:01:24,87.15
7.04,80.96,7.8,14.809,16.44,2023-07-04 02:01:24,75.0
7.0,79.79,7.75,15.259,17.14,2023-07-04 01:01:24,75.0
7.08,79.58,7.71,15.648,16.33,2023-07-04 00:01:24,75.0
7.09,79.16,7.7,15.943,13.16,2023-07-03 23:01:24,79.6
6.81,75.43,7.67,16.056,9.71,2023-07-03 22:01:24,88.225
6.86,76.56,7.68,16.023,9.6,2023-07-03 21:01:24,88.5
6.83,76.93,7.7,15.888,12.71,2023-07-03 20:01:24,80.725
6.72,76.58,7.72,15.629,9.48,2023-07-03 19:01:24,88.8
6.6,75.9,7.73,15.552,7.85,2023-07-03 18:01:24,92.875
6.74,78.17,7.78,15.156,7.42,2023-07-03 17:01:24,93.95
6.31,73.37,7.78,14.507,4.65,2023-07-03 16:01:24,100.0
6.89,80.05,7.81,14.589,7.24,2023-07-03 15:01:24,94.4
6.91,79.94,7.81,14.822,10.96,2023-07-03 14:01:24,85.1
7.05,80.93,7.78,15.188,15.37,2023-07-03 13:01:24,75.0
7.04,79.82,7.74,15.533,15.03,2023-07-03 12:01:24,75.0
7.07,78.93,7.7,15.67,13.14,2023-07-03 11:01:24,79.65
6.33,69.87,7.64,15.679,13.5,2023-07-03 10:01:24,78.75
6.42,71.17,7.65,15.618,9.09,2023-07-03 09:01:24,89.775
6.77,75.55,7.7,15.531,10.95,2023-07-03 08:01:24,85.125
6.75,76.15,7.72,15.388,11.51,2023-07-03 07:01:24,83.725
6.36,72.28,7.71,15.163,10.8,2023-07-03 06:01:24,85.5
6.61,75.81,7.76,14.792,7.42,2023-07-03 05:01:24,93.95
6.45,74.62,7.8,14.443,4.33,2023-07-03 04:01:24,100.0
6.2,71.94,7.78,14.349,2.53,2023-07-03 03:01:24,100.0
7.12,82.47,7.84,14.51,8.17,2023-07-03 02:01:24,92.075
7.07,81.46,7.81,14.88,11.48,2023-07-03 01:01:24,83.8
7.12,81.27,7.76,15.385,11.36,2023-07-03 00:01:24,84.1
7.13,80.69,7.73,15.859,12.63,2023-07-02 23:01:24,80.925
6.86,77.26,7.69,16.107,7.42,2023-07-02 22:01:24,93.95
6.46,72.13,7.65,16.268,11.1,2023-07-02 21:01:24,84.75
6.34,71.48,7.67,16.167,7.22,2023-07-02 20:01:24,94.45
6.75,76.69,7.71,15.977,9.65,2023-07-02 19:01:24,88.375
6.85,78.43,7.74,15.832,7.61,2023-07-02 18:01:24,93.475
6.68,77.02,7.75,15.554,8.06,2023-07-02 17:01:24,92.35
6.62,76.87,7.78,14.963,4.91,2023-07-02 16:01:24,100.0
6.26,72.85,7.79,14.37,4.1,2023-07-02 15:01:24,100.0
6.5,75.6,7.8,14.506,5.71,2023-07-02 14:01:24,98.225
7.07,81.94,7.83,14.775,9.94,2023-07-02 13:01:24,87.65
7.08,81.61,7.79,15.248,11.36,2023-07-02 12:01:24,84.1
7.01,79.98,7.74,15.586,10.93,2023-07-02 11:01:24,85.175
6.7,75.83,7.7,15.601,9.33,2023-07-02 10:01:24,89.175
5.63,62.63,7.59,15.74,4.84,2023-07-02 09:01:24,100.0
6.51,72.8,7.67,15.672,9.54,2023-07-02 08:01:24,88.65
6.54,74.11,7.7,15.548,8.35,2023-07-02 07:01:24,91.625
6.52,74.23,7.72,15.407,9.9,2023-07-02 06:01:24,87.75
6.5,74.29,7.75,15.175,298.96,2023-07-02 05:01:24,75.0
6.23,71.81,7.75,14.8,4.69,2023-07-02 04:01:24,100.0
6.08,70.73,7.78,14.417,3.51,2023-07-02 03:01:24,100.0
6.52,75.94,7.82,14.328,2.96,2023-07-02 02:01:24,100.0
6.92,80.29,7.83,14.634,4.5,2023-07-02 01:01:24,100.0
7.0,80.99,7.8,15.08,8.14,2023-07-02 00:01:24,92.15
7.01,80.61,7.76,15.646,8.61,2023-07-01 23:01:24,90.975
6.8,77.8,7.71,16.013,6.76,2023-07-01 22:01:24,95.6
6.25,71.36,7.66,16.124,4.43,2023-07-01 21:01:24,100.0
6.23,71.02,7.66,16.24,10.06,2023-07-01 20:01:24,87.35
6.59,75.45,7.7,16.168,6.79,2023-07-01 19:01:24,95.525
6.64,76.47,7.73,16.12,7.54,2023-07-01 18:01:24,93.65
6.62,76.59,7.74,15.852,6.6,2023-07-01 17:01:24,96.0
6.62,76.9,7.77,15.487,6.17,2023-07-01 16:01:24,97.075
6.5,75.83,7.79,15.014,6.24,2023-07-01 15:01:24,96.9
6.03,70.19,7.78,14.228,3.59,2023-07-01 14:01:24,100.0
6.4,74.48,7.79,14.477,3.07,2023-07-01 13:01:24,100.0
6.79,78.75,7.81,14.727,5.23,2023-07-01 12:01:24,99.425
6.75,77.78,7.78,15.095,7.45,2023-07-01 11:01:24,93.875
6.57,75.14,7.73,15.386,8.33,2023-07-01 10:01:24,91.675
6.21,70.89,7.69,15.411,4.99,2023-07-01 09:01:24,100.0
5.01,56.66,7.56,15.703,3.03,2023-07-01 08:01:24,100.0
5.65,64.1,7.61,15.562,4.7,2023-07-01 07:01:24,100.0
5.88,66.98,7.68,15.356,5.03,2023-07-01 06:01:24,99.925
6.05,69.24,7.72,15.147,6.65,2023-07-01 05:01:24,95.875
6.3,72.43,7.77,14.877,5.82,2023-07-01 04:01:24,97.95
6.43,74.53,7.8,14.556,4.68,2023-07-01 03:01:24,100.0
5.99,69.66,7.81,14.242,3.32,2023-07-01 02:01:24,100.0
6.47,75.27,7.82,14.247,3.69,2023-07-01 01:01:24,100.0
6.89,80.0,7.84,14.471,4.47,2023-07-01 00:01:24,100.0
6.82,78.91,7.81,14.87,4.92,2023-06-30 23:01:24,100.0
6.7,77.15,7.77,15.293,5.75,2023-06-30 22:01:24,98.125
6.46,74.18,7.72,15.648,4.94,2023-06-30 21:01:24,100.0
5.18,59.6,7.61,15.66,1.58,2023-06-30 20:01:24,100.0
5.61,64.15,7.65,15.897,4.76,2023-06-30 19:01:24,100.0
5.8,66.53,7.69,15.629,2.94,2023-06-30 18:01:24,100.0
6.22,71.53,7.73,15.473,4.02,2023-06-30 17:01:24,100.0
6.38,73.84,7.78,15.191,4.67,2023-06-30 16:01:24,100.0
6.18,71.78,7.79,14.692,3.97,2023-06-30 15:01:24,100.0
5.79,67.16,7.78,14.204,1.78,2023-06-30 14:01:28,100.0
5.86,68.15,7.78,14.045,1.51,2023-06-30 13:01:24,100.0
6.46,75.07,7.82,14.197,2.3,2023-06-30 12:01:24,100.0
6.84,79.25,7.85,14.425,2.84,2023-06-30 11:01:24,100.0
6.74,77.91,7.82,14.81,5.02,2023-06-30 10:01:24,99.95
6.29,72.77,7.75,15.157,2.2,2023-06-30 09:01:24,100.0
5.46,63.42,7.69,15.083,1.8,2023-06-30 08:01:24,100.0
5.43,62.87,7.67,15.442,2.7,2023-06-30 07:01:24,100.0
5.56,63.87,7.69,15.618,4.02,2023-06-30 06:01:24,100.0
6.23,71.91,7.76,15.36,4.74,2023-06-30 05:01:24,100.0
6.34,73.16,7.79,15.09,5.58,2023-06-30 04:01:24,98.55
6.31,73.04,7.8,14.718,14.69,2023-06-30 03:01:24,75.775
6.48,75.25,7.83,14.401,3.05,2023-06-30 02:01:24,100.0
6.31,73.52,7.84,14.027,2.68,2023-06-30 01:01:24,100.0
6.62,77.11,7.85,14.079,2.75,2023-06-30 00:01:24,100.0
6.63,77.17,7.83,14.52,1.78,2023-06-29 23:01:24,100.0
6.7,77.9,7.82,14.913,2.81,2023-06-29 22:01:24,100.0
6.65,77.25,7.8,15.223,4.21,2023-06-29 21:01:24,100.0
6.08,70.74,7.73,15.316,3.2,2023-06-29 20:01:24,100.0
6.14,71.47,7.73,15.354,2.92,2023-06-29 19:01:24,100.0
5.66,65.41,7.64,16.815,2.64,2023-06-29 18:01:24,100.0
6.45,74.54,7.73,16.546,5.3,2023-06-29 17:01:24,99.25
6.48,74.93,7.76,15.97,4.54,2023-06-29 16:01:24,100.0
6.4,73.99,7.77,15.758,1.94,2023-06-29 15:01:24,100.0
6.2,71.94,7.77,15.451,2.48,2023-06-29 14:01:24,100.0
5.9,68.6,7.81,14.056,3.52,2023-06-29 13:01:24,100.0
6.05,70.52,7.82,13.748,1.53,2023-06-29 12:01:24,100.0
6.69,77.93,7.86,13.869,1.99,2023-06-29 11:01:24,100.0
6.74,78.42,7.85,14.217,3.56,2023-06-29 10:01:24,100.0
6.64,77.12,7.81,14.627,3.68,2023-06-29 09:01:24,100.0
5.74,66.72,7.72,14.947,3.35,2023-06-29 08:01:24,100.0
5.65,65.82,7.72,15.011,4.69,2023-06-29 07:01:24,100.0
5.01,58.32,7.66,15.185,2.87,2023-06-29 06:01:24,100.0
5.54,64.1,7.68,15.469,4.04,2023-06-29 05:01:24,100.0
5.36,61.76,7.67,15.564,21.14,2023-06-29 04:01:24,75.0
6.0,69.24,7.75,15.386,4.14,2023-06-29 03:01:24,100.0
6.06,70.16,7.76,15.183,3.68,2023-06-29 02:01:24,100.0
6.46,75.18,7.83,14.421,3.3,2023-06-29 01:01:24,100.0
6.51,76.08,7.86,13.995,2.84,2023-06-29 00:01:24,100.0
6.6,77.1,7.85,14.022,6.28,2023-06-28 23:01:24,96.8
6.97,81.37,7.87,14.347,4.61,2023-06-28 22:01:25,100.0
6.53,76.18,7.81,14.679,2.68,2023-06-28 21:01:24,100.0
6.46,75.31,7.78,15.165,4.19,2023-06-28 20:01:24,100.0
5.68,66.26,7.72,15.278,8.5,2023-06-28 19:01:24,91.25
5.2,60.83,7.66,15.233,4.08,2023-06-28 18:01:24,100.0
4.99,57.97,7.61,16.207,3.03,2023-06-28 17:01:24,100.0
5.8,67.07,7.69,16.299,3.34,2023-06-28 16:01:24,100.0
5.56,64.53,7.7,15.928,4.73,2023-06-28 15:01:24,100.0
6.06,70.62,7.74,15.894,3.78,2023-06-28 14:01:24,100.0
6.16,71.8,7.78,14.899,3.1,2023-06-28 13:01:24,100.0
6.36,74.28,7.84,14.054,2.9,2023-06-28 12:01:24,100.0
6.35,74.15,7.84,13.8,2.69,2023-06-28 11:01:24,100.0
6.69,78.12,7.86,13.868,7.41,2023-06-28 10:01:24,93.975
6.88,80.4,7.87,14.159,3.29,2023-06-28 09:01:24,100.0
6.65,77.68,7.83,14.56,4.12,2023-06-28 08:01:24,100.0
6.2,72.48,7.78,14.898,4.87,2023-06-28 07:01:24,100.0
5.73,67.03,7.74,14.872,3.13,2023-06-28 06:01:24,100.0
5.79,67.8,7.75,14.975,3.14,2023-06-28 05:01:24,100.0
5.53,64.61,7.7,15.558,6.95,2023-06-28 04:01:24,95.125
5.99,69.71,7.74,15.768,4.82,2023-06-28 03:01:24,100.0
5.82,67.82,7.75,15.376,3.73,2023-06-28 02:01:24,100.0
6.29,73.39,7.79,15.102,3.57,2023-06-28 01:01:24,100.0
6.69,78.14,7.86,14.343,2.99,2023-06-28 00:01:24,100.0
6.8,79.5,7.89,14.035,3.43,2023-06-27 23:01:24,100.0
6.85,80.04,7.87,14.16,2.0,2023-06-27 22:01:24,100.0
7.0,81.87,7.87,14.449,2.97,2023-06-27 21:01:24,100.0
6.52,76.28,7.81,14.734,2.06,2023-06-27 20:01:24,100.0
6.45,75.43,7.78,15.309,3.77,2023-06-27 19:01:24,100.0
5.63,65.99,7.7,15.631,3.91,2023-06-27 18:01:24,100.0
5.29,62.12,7.68,15.525,3.34,2023-06-27 17:01:24,100.0
5.33,62.34,7.66,16.096,2.71,2023-06-27 16:01:24,100.0
5.49,63.74,7.68,16.313,3.9,2023-06-27 15:01:24,100.0
6.13,71.67,7.76,15.566,3.41,2023-06-27 14:01:24,100.0
5.65,65.97,7.72,15.629,3.84,2023-06-27 13:01:24,100.0
6.13,71.56,7.77,15.152,2.22,2023-06-27 12:01:24,100.0
6.2,72.49,7.83,14.12,2.37,2023-06-27 11:01:24,100.0
6.35,74.26,7.84,13.826,2.05,2023-06-27 10:01:24,100.0
6.96,81.39,7.88,13.858,2.16,2023-06-27 09:01:24,100.0
6.94,81.24,7.87,14.085,1.73,2023-06-27 08:01:24,100.0
6.95,81.38,7.86,14.495,2.99,2023-06-27 07:01:24,100.0
6.2,72.75,7.78,14.883,1.97,2023-06-27 06:01:24,100.0
5.92,69.6,7.76,15.072,2.66,2023-06-27 05:01:24,100.0
5.51,64.79,7.71,15.17,1.81,2023-06-27 04:01:24,100.0
5.6,65.84,7.7,15.961,3.39,2023-06-27 03:01:24,100.0
5.32,62.16,7.67,16.387,2.77,2023-06-27 02:01:24,100.0
6.14,71.85,7.75,16.124,3.2,2023-06-27 01:01:24,100.0
5.84,68.37,7.74,15.688,3.05,2023-06-27 00:01:24,100.0
6.46,75.6,7.83,14.686,2.88,2023-06-26 23:01:24,100.0
6.89,80.74,7.88,13.876,2.55,2023-06-26 22:01:24,100.0
6.93,81.16,7.87,14.018,1.52,2023-06-26 21:01:24,100.0
6.95,81.52,7.85,14.449,2.01,2023-06-26 20:01:24,100.0
6.76,79.26,7.83,14.848,2.22,2023-06-26 19:01:28,100.0
6.44,75.63,7.78,15.443,4.35,2023-06-26 18:01:24,100.0
5.41,63.73,7.65,16.37,2.97,2023-06-26 17:01:24,100.0
5.26,62.08,7.61,16.551,3.75,2023-06-26 16:01:24,100.0
4.48,52.65,7.55,17.565,1.61,2023-06-26 15:01:24,100.0
5.23,61.3,7.62,17.566,3.07,2023-06-26 14:01:24,100.0
5.59,65.34,7.67,17.326,4.56,2023-06-26 13:01:24,100.0
5.67,66.29,7.7,16.691,3.88,2023-06-26 12:01:24,100.0
6.25,73.41,7.78,15.749,3.54,2023-06-26 11:01:24,100.0
5.72,67.01,7.78,14.204,2.01,2023-06-26 10:01:24,100.0
6.57,77.15,7.85,14.064,2.39,2023-06-26 09:01:24,100.0
6.59,77.33,7.84,14.233,1.78,2023-06-26 08:01:24,100.0
6.9,81.04,7.87,14.545,2.76,2023-06-26 07:01:24,100.0
6.56,77.22,7.82,15.107,2.56,2023-06-26 06:01:24,100.0
6.0,70.74,7.73,15.768,3.3,2023-06-26 05:01:24,100.0
4.76,56.18,7.62,15.969,2.93,2023-06-26 04:01:24,100.0
5.19,61.28,7.63,16.161,2.48,2023-06-26 03:01:24,100.0
4.62,54.59,7.59,16.821,1.96,2023-06-26 02:01:24,100.0
5.24,61.89,7.64,17.044,2.89,2023-06-26 01:01:24,100.0
5.14,60.54,7.63,17.13,3.92,2023-06-26 00:01:24,100.0
5.46,64.34,7.69,16.13,3.26,2023-06-25 23:01:24,100.0
6.05,71.36,7.77,15.081,2.37,2023-06-25 22:01:24,100.0
6.33,74.5,7.82,14.57,2.03,2023-06-25 21:01:24,100.0
6.5,76.69,7.81,15.012,1.91,2023-06-25 20:01:24,100.0
6.23,73.53,7.77,15.405,1.82,2023-06-25 19:01:24,100.0
6.36,75.09,7.77,15.794,3.67,2023-06-25 18:01:24,100.0
5.82,68.68,7.69,16.427,2.67,2023-06-25 17:01:24,100.0
4.71,55.5,7.57,16.786,4.14,2023-06-25 16:01:24,100.0
4.35,51.24,7.54,16.899,3.38,2023-06-25 15:01:24,100.0
4.02,47.47,7.49,17.831,1.95,2023-06-25 14:01:24,100.0
4.99,58.88,7.58,17.874,4.57,2023-06-25 13:01:24,100.0
5.06,59.55,7.63,17.165,3.25,2023-06-25 12:01:24,100.0
5.62,66.42,7.69,16.391,3.68,2023-06-25 11:01:24,100.0
5.66,66.68,7.71,15.445,2.79,2023-06-25 10:01:24,100.0
5.23,61.45,7.72,14.647,2.14,2023-06-25 09:01:24,100.0
6.41,75.39,7.84,14.382,2.23,2023-06-25 08:01:24,100.0
6.46,75.99,7.83,14.555,2.16,2023-06-25 07:01:24,100.0
6.66,78.4,7.82,14.955,1.91,2023-06-25 06:01:24,100.0
6.46,76.23,7.79,15.622,3.65,2023-06-25 05:01:24,100.0
5.67,66.8,7.68,16.104,2.67,2023-06-25 04:01:24,100.0
4.72,55.58,7.58,16.339,2.18,2023-06-25 03:01:24,100.0
3.94,46.39,7.5,16.815,2.12,2023-06-25 02:01:24,100.0
4.47,52.78,7.54,17.776,3.08,2023-06-25 01:01:24,100.0
4.41,51.99,7.54,18.03,3.19,2023-06-25 00:01:24,100.0
5.29,62.52,7.64,17.016,3.89,2023-06-24 23:01:24,100.0
5.48,64.7,7.69,16.374,3.22,2023-06-24 22:01:24,100.0
5.55,65.26,7.72,15.263,1.51,2023-06-24 21:01:24,100.0
6.49,76.31,7.83,14.527,1.78,2023-06-24 20:01:24,100.0
6.3,74.19,7.77,15.091,1.63,2023-06-24 19:01:24,100.0
6.17,72.76,7.75,15.722,3.02,2023-06-24 18:01:24,100.0
5.85,68.84,7.69,16.375,4.12,2023-06-24 17:01:24,100.0
5.13,60.1,7.59,17.039,4.1,2023-06-24 16:01:24,100.0
4.1,47.93,7.46,17.474,3.09,2023-06-24 15:01:24,100.0
3.36,39.28,7.42,18.962,4.41,2023-06-24 14:01:24,100.0
4.11,48.03,7.46,18.875,4.14,2023-06-24 13:01:24,100.0
4.44,51.87,7.5,18.235,4.75,2023-06-24 12:01:24,100.0
4.41,51.66,7.52,17.627,3.68,2023-06-24 11:01:24,100.0
4.96,57.98,7.58,16.474,3.71,2023-06-24 10:01:24,100.0
4.72,55.25,7.61,15.564,2.53,2023-06-24 09:01:24,100.0
5.01,58.76,7.65,14.892,1.78,2023-06-24 08:01:24,100.0
5.84,68.58,7.74,14.776,1.43,2023-06-24 07:01:24,100.0
5.91,69.38,7.73,15.148,2.05,2023-06-24 06:01:24,100.0
5.81,68.01,7.69,15.759,4.54,2023-06-24 05:01:24,100.0
5.54,64.85,7.64,16.36,4.71,2023-06-24 04:01:24,100.0
4.32,50.51,7.48,16.963,2.0,2023-06-24 03:01:24,100.0
3.26,38.14,7.41,17.13,1.89,2023-06-24 02:01:24,100.0
3.5,40.8,7.45,18.061,3.67,2023-06-24 01:01:24,100.0
3.67,42.61,7.44,18.041,3.54,2023-06-24 00:01:24,100.0
3.98,46.39,7.48,17.46,3.54,2023-06-23 23:01:24,100.0
4.49,52.49,7.54,16.903,3.54,2023-06-23 22:01:24,100.0
5.04,59.1,7.61,16.259,2.94,2023-06-23 21:01:24,100.0
5.4,63.36,7.68,15.42,2.79,2023-06-23 20:01:24,100.0
5.61,65.84,7.7,15.245,2.3,2023-06-23 19:01:24,100.0
5.42,63.6,7.65,15.882,2.31,2023-06-23 18:01:24,100.0
5.55,65.19,7.63,16.458,4.73,2023-06-23 17:01:24,100.0
5.04,58.92,7.54,17.476,5.18,2023-06-23 16:01:24,99.55
4.63,53.98,7.48,18.012,4.43,2023-06-23 15:01:24,100.0
3.7,43.12,7.41,18.04,2.68,2023-06-23 14:01:24,100.0
3.99,46.26,7.43,18.668,4.35,2023-06-23 13:01:24,100.0
3.56,41.2,7.42,18.472,3.88,2023-06-23 12:01:24,100.0
4.39,51.02,7.48,17.911,5.42,2023-06-23 11:01:24,98.95
4.85,56.54,7.55,17.367,4.37,2023-06-23 10:01:24,100.0
